"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.108985100E-2,-1.238285750E-1,-5.341976285E-1,9.781559944E0,9.796918677E0
3.353516300E-2,-1.238285750E-1,-5.437689424E-1,9.757631302E0,9.773555484E0
3.598141300E-2,-1.166501045E-1,-5.389832854E-1,9.767203331E0,9.782758871E0
3.842750700E-2,-1.166501045E-1,-5.413761139E-1,9.781559944E0,9.797224622E0
4.087375700E-2,-1.286142170E-1,-5.318048596E-1,9.783952713E0,9.799239191E0
4.332073600E-2,-1.094716340E-1,-5.413761139E-1,9.752845764E0,9.768473403E0
4.576604900E-2,-1.070788130E-1,-5.437689424E-1,9.781559944E0,9.797247852E0
4.821229900E-2,-1.070788130E-1,-5.533402562E-1,9.743274689E0,9.759562130E0
5.065927800E-2,-8.554340899E-2,-5.724828243E-1,9.757631302E0,9.774785056E0
5.310459000E-2,-1.118644550E-1,-5.700899959E-1,9.760024071E0,9.777299531E0
5.555084000E-2,-1.046859920E-1,-5.605186820E-1,9.762416840E0,9.779055317E0
5.799693400E-2,-9.750752151E-2,-5.533402562E-1,9.769596100E0,9.785739681E0
6.044318400E-2,-1.094716340E-1,-5.557330847E-1,9.760024071E0,9.776445835E0
6.289016300E-2,-1.238285750E-1,-5.461617708E-1,9.752845764E0,9.768911234E0
6.533547600E-2,-1.142572835E-1,-5.509474277E-1,9.757631302E0,9.773840925E0
6.778172600E-2,-1.022931710E-1,-5.629115105E-1,9.757631302E0,9.774390103E0
7.022870500E-2,-1.238285750E-1,-5.461617708E-1,9.771988869E0,9.788022918E0
7.267401700E-2,-9.272187948E-2,-5.629115105E-1,9.750452995E0,9.767128561E0
7.512026700E-2,-9.990034252E-2,-5.653043389E-1,9.762416840E0,9.779280731E0
7.756636100E-2,-9.990034252E-2,-5.365904570E-1,9.755238533E0,9.770495803E0
8.001261100E-2,-9.990034252E-2,-5.365904570E-1,9.757631302E0,9.772884836E0
8.245959000E-2,-8.315058798E-2,-5.485545993E-1,9.748060226E0,9.763836559E0
8.490490300E-2,-1.118644550E-1,-5.437689424E-1,9.740881920E0,9.756688931E0
8.735115300E-2,-1.046859920E-1,-5.605186820E-1,9.755238533E0,9.771889233E0
8.979813200E-2,-1.046859920E-1,-5.653043389E-1,9.757631302E0,9.774553533E0
9.224344400E-2,-8.793623000E-2,-5.629115105E-1,9.757631302E0,9.774250394E0
9.468969400E-2,-1.070788130E-1,-5.653043389E-1,9.738489151E0,9.755470558E0
9.713578800E-2,-9.990034252E-2,-5.485545993E-1,9.752845764E0,9.768771301E0
9.958203800E-2,-1.094716340E-1,-5.485545993E-1,9.738489151E0,9.754540847E0
1.020290170E-1,-1.046859920E-1,-5.533402562E-1,9.745667458E0,9.761924953E0
1.044743300E-1,-1.262213886E-1,-5.676971674E-1,9.757631302E0,9.774946575E0
1.069205800E-1,-1.214357466E-1,-5.605186820E-1,9.755238533E0,9.772083026E0
1.093675070E-1,-1.142572835E-1,-5.509474277E-1,9.755238533E0,9.771452125E0
1.118128710E-1,-1.094716340E-1,-5.413761139E-1,9.745667458E0,9.761306589E0
1.142590690E-1,-9.990034252E-2,-5.605186820E-1,9.767203331E0,9.783783633E0
1.167052670E-1,-1.142572835E-1,-5.724828243E-1,9.760024071E0,9.777467012E0
1.191514650E-1,-9.272187948E-2,-5.605186820E-1,9.731310844E0,9.747881272E0
1.215984440E-1,-1.118644550E-1,-5.653043389E-1,9.736096382E0,9.753135671E0
1.240437570E-1,-1.238285750E-1,-5.629115105E-1,9.745667458E0,9.762696199E0
1.264899550E-1,-9.032905847E-2,-5.892325640E-1,9.769596100E0,9.787765951E0
1.289369340E-1,-1.357926875E-1,-5.653043389E-1,9.764810562E0,9.782102737E0
1.313822990E-1,-1.070788130E-1,-5.772684813E-1,9.764810562E0,9.782444995E0
1.338284960E-1,-1.357926875E-1,-5.772684813E-1,9.774381638E0,9.792354924E0
1.362746940E-1,-1.286142170E-1,-5.676971674E-1,9.748060226E0,9.765423691E0
1.387208920E-1,-1.286142170E-1,-5.844469070E-1,9.750452995E0,9.768799999E0
1.411678190E-1,-1.429711580E-1,-5.700899959E-1,9.748060226E0,9.765762722E0
1.436131840E-1,-1.357926875E-1,-5.892325640E-1,9.760024071E0,9.778737369E0
1.460593820E-1,-1.166501045E-1,-5.772684813E-1,9.776774406E0,9.794496615E0
1.485063610E-1,-1.405783296E-1,-5.676971674E-1,9.776774406E0,9.794251382E0
1.509517260E-1,-1.381855011E-1,-5.605186820E-1,9.779167175E0,9.796192478E0
1.533979240E-1,-1.310070455E-1,-5.437689424E-1,9.769596100E0,9.785594283E0
1.558441210E-1,-1.357926875E-1,-5.605186820E-1,9.748060226E0,9.765106196E0
1.582902150E-1,-1.238285750E-1,-5.605186820E-1,9.757631302E0,9.774501692E0
1.607372460E-1,-1.286142170E-1,-5.557330847E-1,9.748060226E0,9.764735483E0
1.631826110E-1,-1.262213886E-1,-5.653043389E-1,9.752845764E0,9.770030774E0
1.656288090E-1,-1.094716340E-1,-5.748756528E-1,9.748060226E0,9.765610285E0
1.680757880E-1,-1.357926875E-1,-5.629115105E-1,9.750452995E0,9.767632397E0
1.705211010E-1,-1.118644550E-1,-5.533402562E-1,9.738489151E0,9.754838289E0
1.729673510E-1,-1.286142170E-1,-5.629115105E-1,9.752845764E0,9.769923822E0
1.754135490E-1,-1.238285750E-1,-5.724828243E-1,9.748060226E0,9.765641212E0
1.778596420E-1,-1.238285750E-1,-5.700899959E-1,9.755238533E0,9.772666727E0
1.803066740E-1,-1.286142170E-1,-5.581258535E-1,9.760024071E0,9.776815225E0
1.827520380E-1,-1.094716340E-1,-5.461617708E-1,9.771988869E0,9.787851816E0
1.851982360E-1,-1.190429255E-1,-5.485545993E-1,9.745667458E0,9.761819378E0
1.876452150E-1,-1.070788130E-1,-5.365904570E-1,9.740881920E0,9.756237788E0
1.900905280E-1,-1.094716340E-1,-5.629115105E-1,9.767203331E0,9.784023422E0
1.925367780E-1,-1.046859920E-1,-5.461617708E-1,9.769596100E0,9.785410558E0
1.949829760E-1,-1.118644550E-1,-5.509474277E-1,9.769596100E0,9.785758258E0
1.974290690E-1,-1.357926875E-1,-5.318048596E-1,9.769596100E0,9.785001994E0
1.998761010E-1,-1.262213886E-1,-5.461617708E-1,9.757631302E0,9.773719514E0
2.023214130E-1,-1.046859920E-1,-5.557330847E-1,9.733703613E0,9.750117151E0
2.047676630E-1,-9.990034252E-2,-5.461617708E-1,9.752845764E0,9.768637226E0
2.072146420E-1,-1.094716340E-1,-5.461617708E-1,9.755238533E0,9.771128674E0
2.096599550E-1,-1.094716340E-1,-5.437689424E-1,9.788738251E0,9.804441098E0
2.121062050E-1,-1.118644550E-1,-5.437689424E-1,9.738489151E0,9.754300040E0
2.145522990E-1,-1.046859920E-1,-5.461617708E-1,9.745667458E0,9.761520682E0
2.169985490E-1,-1.190429255E-1,-5.365904570E-1,9.733703613E0,9.749209536E0
2.194455280E-1,-1.046859920E-1,-5.557330847E-1,9.771988869E0,9.788338208E0
2.218908400E-1,-9.990034252E-2,-5.485545993E-1,9.748060226E0,9.763993568E0
2.243370900E-1,-9.990034252E-2,-5.509474277E-1,9.745667458E0,9.761739463E0
2.267840690E-1,-9.750752151E-2,-5.533402562E-1,9.745667458E0,9.761850611E0
2.292293820E-1,-9.750752151E-2,-5.605186820E-1,9.743274689E0,9.759871442E0
2.316756320E-1,-1.070788130E-1,-5.509474277E-1,9.745667458E0,9.761815565E0
2.341217260E-1,-1.046859920E-1,-5.581258535E-1,9.728918076E0,9.745476415E0
2.365679760E-1,-1.238285750E-1,-5.581258535E-1,9.743274689E0,9.760032769E0
2.390149550E-1,-1.070788130E-1,-5.509474277E-1,9.755238533E0,9.771370824E0
2.414602670E-1,-9.272187948E-2,-5.533402562E-1,9.779167175E0,9.795248513E0
2.439065170E-1,-8.075776696E-2,-5.629115105E-1,9.767203331E0,9.783744278E0
2.463534960E-1,-1.070788130E-1,-5.365904570E-1,9.769596100E0,9.784906905E0
2.487988090E-1,-1.022931710E-1,-5.557330847E-1,9.748060226E0,9.764424270E0
2.512450590E-1,-1.046859920E-1,-5.509474277E-1,9.740881920E0,9.757011981E0
2.536911530E-1,-1.310070455E-1,-5.653043389E-1,9.767203331E0,9.784426031E0
2.561374030E-1,-1.333998591E-1,-5.437689424E-1,9.762416840E0,9.778459119E0
2.585843820E-1,-1.262213886E-1,-5.533402562E-1,9.736096382E0,9.752624777E0
2.610296940E-1,-1.333998591E-1,-5.437689424E-1,9.757631302E0,9.773681436E0
2.634759440E-1,-1.142572835E-1,-5.581258535E-1,9.733703613E0,9.750361287E0
2.659229240E-1,-1.310070455E-1,-5.365904570E-1,9.750452995E0,9.766085489E0
2.683682360E-1,-1.166501045E-1,-5.389832854E-1,9.774381638E0,9.789925772E0
2.708144860E-1,-1.190429255E-1,-5.413761139E-1,9.738489151E0,9.754251907E0
2.732605800E-1,-1.333998591E-1,-5.629115105E-1,9.757631302E0,9.774765139E0
2.757068300E-1,-1.214357466E-1,-5.557330847E-1,9.755238533E0,9.771809696E0
2.781538090E-1,-1.333998591E-1,-5.485545993E-1,9.736096382E0,9.752449971E0
2.805991210E-1,-1.238285750E-1,-5.772684813E-1,9.779167175E0,9.796973158E0
2.830453710E-1,-1.286142170E-1,-5.629115105E-1,9.764810562E0,9.781867731E0
2.854923510E-1,-1.333998591E-1,-5.629115105E-1,9.745667458E0,9.762822291E0
2.879376630E-1,-1.357926875E-1,-5.557330847E-1,9.757631302E0,9.774387323E0
2.903839130E-1,-1.477568001E-1,-5.653043389E-1,9.757631302E0,9.775109702E0
2.928300070E-1,-1.214357466E-1,-5.676971674E-1,9.779167175E0,9.796383892E0
2.952762570E-1,-1.286142170E-1,-5.676971674E-1,9.767203331E0,9.784532825E0
2.977232360E-1,-1.142572835E-1,-5.724828243E-1,9.745667458E0,9.763136049E0
3.001685490E-1,-1.190429255E-1,-5.724828243E-1,9.755238533E0,9.772747139E0
3.026147990E-1,-9.990034252E-2,-5.509474277E-1,9.771988869E0,9.788017654E0
