"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.379038300E-2,-1.429711580E-1,-5.413761139E-1,1.038245773E1,1.039754574E1
2.623678900E-2,-1.094716340E-1,-5.653043389E-1,1.041356373E1,1.042947087E1
2.868246600E-2,-8.793623000E-2,-5.796613097E-1,1.050688457E1,1.052322971E1
3.112902800E-2,-8.315058798E-2,-5.892325640E-1,1.054307556E1,1.055985565E1
3.357626800E-2,-8.315058798E-2,-5.629115105E-1,1.057418251E1,1.058948153E1
3.602272600E-2,-1.166501045E-1,-5.653043389E-1,1.061246777E1,1.062815357E1
3.846840300E-2,-1.812563092E-1,-5.533402562E-1,1.068425179E1,1.070010633E1
4.091486200E-2,-2.195414752E-1,-5.557330847E-1,1.073210907E1,1.074873029E1
4.336215300E-2,-2.506481707E-1,-5.485545993E-1,1.077996540E1,1.079682318E1
4.580861200E-2,-3.131606579E-1,-4.935196638E-1,1.080867863E1,1.082447065E1
4.825428900E-2,-3.011965454E-1,-4.716851711E-1,1.082064342E1,1.083510639E1
5.070074700E-2,-2.650051117E-1,-4.094717801E-1,1.081346416E1,1.082445851E1
5.314809100E-2,-2.267199457E-1,-3.352942765E-1,1.074168015E1,1.074930307E1
5.559449700E-2,-1.788634956E-1,-2.611167729E-1,1.060289669E1,1.060761954E1
5.804017400E-2,-1.764706671E-1,-1.917249113E-1,1.037049294E1,1.037376615E1
6.048663300E-2,-1.716850251E-1,-1.462612897E-1,1.015513897E1,1.015764321E1
6.293397600E-2,-1.956132501E-1,-1.103689447E-1,9.929914474E0,9.932454244E0
6.538038300E-2,-2.147558331E-1,-1.103689447E-1,9.681061745E0,9.684072381E0
6.782606000E-2,-2.554338276E-1,-1.271187067E-1,9.422636032E0,9.426954726E0
7.027262200E-2,-3.179463148E-1,-1.462612897E-1,9.233304024E0,9.239934276E0
7.271986200E-2,-4.304089844E-1,-1.965105534E-1,9.120841980E0,9.133106083E0
7.516626800E-2,-5.117649436E-1,-2.443670183E-1,9.039485931E0,9.057258112E0
7.761194500E-2,-6.074778438E-1,-3.305086195E-1,9.032307625E0,9.058744190E0
8.005850800E-2,-6.696912646E-1,-3.879363835E-1,9.025128365E0,9.058251654E0
8.250574700E-2,-7.031907439E-1,-4.286143482E-1,9.101698875E0,9.138879029E0
8.495220500E-2,-7.462615371E-1,-4.597210586E-1,9.144769669E0,9.186678509E0
8.739788300E-2,-7.462615371E-1,-4.788636267E-1,9.216554642E0,9.259108819E0
8.984434100E-2,-7.007979155E-1,-5.078766346E-1,9.290732384E0,9.330957326E0
9.229168500E-2,-6.840481758E-1,-4.887340367E-1,9.338588715E0,9.376354411E0
9.473809100E-2,-6.457630396E-1,-4.692923427E-1,9.367302895E0,9.401255699E0
9.718376800E-2,-6.074778438E-1,-4.429712892E-1,9.401101112E0,9.431116319E0
9.963022600E-2,-5.955137610E-1,-3.951148391E-1,9.425029755E0,9.452086450E0
1.020775700E-1,-6.002993584E-1,-3.329014480E-1,9.446564674E0,9.471471208E0
1.045239760E-1,-6.122635007E-1,-2.898306549E-1,9.484849930E0,9.509008707E0
1.069696530E-1,-6.266204119E-1,-2.276172489E-1,9.530313492E0,9.553603404E0
1.094161120E-1,-6.170491576E-1,-1.654038578E-1,9.594920158E0,9.616163525E0
1.118634550E-1,-6.314060688E-1,-1.271187067E-1,9.645169258E0,9.666650030E0
1.143098620E-1,-6.314060688E-1,-7.686942816E-2,9.719346046E0,9.740137068E0
1.167555390E-1,-6.170491576E-1,-6.969095767E-2,9.783952713E0,9.803638977E0
1.192021010E-1,-6.337988973E-1,-4.576273263E-2,9.901201248E0,9.921571520E0
1.216493410E-1,-6.577271223E-1,-4.336991161E-2,9.975677490E0,9.997431035E0
1.240957990E-1,-6.146563292E-1,-3.140579537E-2,1.004028416E1,1.005912992E1
1.265414760E-1,-6.074778438E-1,-4.815555736E-2,1.010967541E1,1.012802474E1
1.289879350E-1,-5.739783049E-1,-8.883354068E-2,1.013838959E1,1.015501285E1
1.314352260E-1,-5.644070506E-1,-9.122636169E-2,1.017906761E1,1.019511133E1
1.338816850E-1,-5.524429083E-1,-1.319043487E-1,1.019342422E1,1.020923549E1
1.363273620E-1,-5.811567903E-1,-1.630110443E-1,1.017667484E1,1.019455868E1
1.387738200E-1,-5.548357368E-1,-1.845464408E-1,1.014078236E1,1.015762605E1
1.412211640E-1,-5.548357368E-1,-2.156531364E-1,1.012642574E1,1.014390691E1
1.436675700E-1,-5.165506005E-1,-2.204387933E-1,1.008574772E1,1.010137242E1
1.461132470E-1,-4.639084935E-1,-2.443670183E-1,1.003789139E1,1.005157649E1
1.485597050E-1,-4.208376706E-1,-2.324029058E-1,9.968499184E0,9.980084741E0
1.510070490E-1,-3.299104273E-1,-2.228316069E-1,9.898808479E0,9.906810997E0
1.534534550E-1,-3.179463148E-1,-2.156531364E-1,9.822237968E0,9.829748463E0
1.558991330E-1,-2.697907388E-1,-2.108674943E-1,9.707382202E0,9.713419653E0
1.583456950E-1,-2.362912297E-1,-2.108674943E-1,9.590133667E0,9.595361504E0
1.607929350E-1,-2.458625287E-1,-1.845464408E-1,9.518349648E0,9.523312753E0
1.632393410E-1,-2.386840582E-1,-1.941177398E-1,9.417850494E0,9.422874281E0
1.656850700E-1,-2.554338276E-1,-1.606182158E-1,9.357730865E0,9.362594277E0
1.681315280E-1,-3.059822023E-1,-1.677966863E-1,9.300303459E0,9.306848299E0
1.705788200E-1,-3.562314808E-1,-1.821536273E-1,9.273982048E0,9.282608676E0
1.730252780E-1,-4.040879309E-1,-2.132603228E-1,9.278767586E0,9.290010491E0
1.754709550E-1,-3.969094455E-1,-2.515454888E-1,9.302696228E0,9.314556852E0
1.779174140E-1,-4.615156651E-1,-2.659024298E-1,9.348159790E0,9.363321647E0
1.803647580E-1,-4.878367186E-1,-2.850449979E-1,9.360123634E0,9.377161072E0
1.828111640E-1,-4.734797776E-1,-2.922234535E-1,9.369695663E0,9.386201280E0
1.852568410E-1,-4.830510616E-1,-2.946162820E-1,9.413064957E0,9.430054558E0
1.877032990E-1,-4.878367186E-1,-2.754737139E-1,9.413064957E0,9.429722282E0
1.901506430E-1,-4.591228366E-1,-2.754737139E-1,9.427422523E0,9.442614838E0
1.925970490E-1,-4.663013220E-1,-2.467598319E-1,9.446564674E0,9.461284875E0
1.950427260E-1,-4.256233275E-1,-2.682952285E-1,9.425029755E0,9.438449206E0
1.974891850E-1,-4.136592150E-1,-2.491526604E-1,9.405886650E0,9.418274506E0
1.999365280E-1,-4.088735580E-1,-2.419741899E-1,9.403493881E0,9.415488637E0
